Id,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Scientific Name,Author,Rank,Listing,Party,Listed under,Full note,# Full note,All_DistributionFullNames,All_DistributionISOCodes,NativeDistributionFullNames,Introduced_Distribution,Introduced(?)_Distribution,Reintroduced_Distribution,Extinct_Distribution,Extinct(?)_Distribution,Distribution_Uncertain
6810,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Alligator,mississippiensis,,Alligator mississippiensis,"(Daudin, 1801)",SPECIES,II,,Crocodylia spp.,"**II** [ORDER listing Crocodylia spp.] As agreed at CoP4 on recommendation from the Nomenclature Committee. Includes Alligatoridae, Crocodylidae, Gavialidae.",,United States of America,US,United States of America,,,,,,
6693,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Alligator,sinensis,,Alligator sinensis,"Fauvel, 1879",SPECIES,I,,Alligator sinensis,,,China,CN,China,,,,,,
10090,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus,,Caiman crocodilus,"(Linnaeus, 1758)",SPECIES,II,,Crocodylia spp.,"**II** [ORDER listing Crocodylia spp.] As agreed at CoP4 on recommendation from the Nomenclature Committee. Includes Alligatoridae, Crocodylidae, Gavialidae.",,"Argentina,Bolivia (Plurinational State of),Brazil,Colombia,Costa Rica,Cuba,Ecuador,El Salvador,French Guiana [FR],Guatemala,Guyana,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Puerto Rico,Suriname,Trinidad and Tobago,United States of America,Uruguay,Venezuela (Bolivarian Republic of)","AR,BO,BR,CO,CR,CU,EC,SV,GF,GT,GY,HN,MX,NI,PA,PY,PE,PR,SR,TT,US,UY,VE","Argentina,Bolivia (Plurinational State of),Brazil,Colombia,Costa Rica,Ecuador,El Salvador,French Guiana [FR],Guatemala,Guyana,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Suriname,Trinidad and Tobago,Uruguay,Venezuela (Bolivarian Republic of)","Cuba,Puerto Rico,United States of America",,,,,
12251,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus,apaporiensis,Caiman crocodilus apaporiensis,"Medem, 1955",SUBSPECIES,I,,Caiman crocodilus apaporiensis,,,Colombia,CO,Colombia,,,,,,
5390,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,latirostris,,Caiman latirostris,"(Daudin, 1802)",SPECIES,I/II,,Caiman latirostris,"**I** Except the population of Argentina, which is included in Appendix II, and the population of Brazil, which is included in Appendix II subject to a zero annual export quota for wild specimens traded for commercial purposes.
**II** Population of Argentina, included in CROCODYLIA spp., and population of Brazil, included in CROCODYLIA spp. and subject to a zero annual export quota for wild specimens traded for commercial purposes.",,"Argentina,Bolivia (Plurinational State of),Brazil,Paraguay,Uruguay","AR,BO,BR,PY,UY","Argentina,Bolivia (Plurinational State of),Brazil,Paraguay,Uruguay",,,,,,
10978,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,niger,,Melanosuchus niger,"(Spix, 1825)",SPECIES,I/II,,Melanosuchus niger,"**I** Included in Appendix I, except for the population of Brazil, which is included in Appendix II, and the population of Ecuador, which is included in Appendix II and is subject to a zero annual export quota until an annual export quota has been approved by the CITES Secretariat and the IUCN/SSC Crocodile Specialist Group.
**II** Population of Brazil and the population of Ecuador, which is included in Appendix II and is subject to a zero annual export quota until an annual export quota has been approved by the CITES Secretariat and the IUCN/SSC Crocodile Specialist Group.",,"Bolivia (Plurinational State of),Brazil,Colombia,Ecuador,French Guiana [FR],Guyana,Paraguay,Peru,Venezuela (Bolivarian Republic of)","BO,BR,CO,EC,GF,GY,PY,PE,VE","Bolivia (Plurinational State of),Brazil,Colombia,Ecuador,French Guiana [FR],Guyana,Peru",,,,,,"Paraguay,Venezuela (Bolivarian Republic of)"
9856,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Paleosuchus,palpebrosus,,Paleosuchus palpebrosus,"(Cuvier, 1807)",SPECIES,II,,Crocodylia spp.,"**II** [ORDER listing Crocodylia spp.] As agreed at CoP4 on recommendation from the Nomenclature Committee. Includes Alligatoridae, Crocodylidae, Gavialidae.",,"Bolivia (Plurinational State of),Brazil,Colombia,Ecuador,French Guiana [FR],Guyana,Peru,Suriname,Venezuela (Bolivarian Republic of)","BO,BR,CO,EC,GF,GY,PE,SR,VE","Bolivia (Plurinational State of),Brazil,Colombia,Ecuador,French Guiana [FR],Guyana,Peru,Suriname,Venezuela (Bolivarian Republic of)",,,,,,
10276,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Paleosuchus,trigonatus,,Paleosuchus trigonatus,"(Schneider, 1801)",SPECIES,II,,Crocodylia spp.,"**II** [ORDER listing Crocodylia spp.] As agreed at CoP4 on recommendation from the Nomenclature Committee. Includes Alligatoridae, Crocodylidae, Gavialidae.",,"Bolivia (Plurinational State of),Brazil,Colombia,Ecuador,French Guiana [FR],Guyana,Peru,Suriname,Venezuela (Bolivarian Republic of)","BO,BR,CO,EC,GF,GY,PE,SR,VE","Bolivia (Plurinational State of),Brazil,Colombia,Ecuador,French Guiana [FR],Guyana,Peru,Suriname,Venezuela (Bolivarian Republic of)",,,,,,
6436,Animalia,Chordata,Reptilia,Crocodylia,Crocodylidae,Crocodylus,acutus,,Crocodylus acutus,"(Cuvier, 1807)",SPECIES,I/II,,Crocodylus acutus,"**I** Except the population of the Integrated Management District of Mangroves of the Bay of Cispata, Tinajones, La Balsa and Surrounding Areas, Department of Córdoba, Colombia, and the population of Cuba, which are included in Appendix II; and the population of Mexico, which is included in Appendix II and is subject to a zero export quota for wild specimens for commercial purposes
**II** Population of the Integrated Management District of Mangroves of the Bay of Cispata, Tinajones, La Balsa and Surrounding Areas, Department of Córdoba, Colombia, and the population of Cuba; and the population of Mexico, which is subject to a zero export quota for wild specimens for commercial purposes",,"Belize,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Jamaica,Mexico,Nicaragua,Panama,Peru,United States of America,Venezuela (Bolivarian Republic of)","BZ,CO,CR,CU,DO,EC,SV,GT,HT,HN,JM,MX,NI,PA,PE,US,VE","Belize,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Jamaica,Mexico,Nicaragua,Panama,Peru,United States of America,Venezuela (Bolivarian Republic of)",,,,,,
5306,Animalia,Chordata,Reptilia,Crocodylia,Crocodylidae,Crocodylus,cataphractus,,Crocodylus cataphractus,"Cuvier, 1825",SPECIES,I,,Crocodylus cataphractus,**I** All populations.,,"Angola,Benin,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea,Guinea Bissau,Liberia,Mali,Mauritania,Nigeria,Senegal,Sierra Leone,Togo,United Republic of Tanzania,Zambia","AO,BJ,BF,BI,CM,CF,TD,CG,CI,CD,GQ,GA,GM,GH,GN,GW,LR,ML,MR,NG,SN,SL,TG,TZ,ZM","Angola,Benin,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea,Guinea Bissau,Liberia,Mali,Mauritania,Nigeria,Senegal,Sierra Leone,Togo,United Republic of Tanzania,Zambia",,,,,,
