"","Year","Taxon","Term","Unit","Exporter","Purpose","Source","Reporter.type","Volume"
"1",1990,"Aldabrachelys gigantea","live",NA,"SC","BLANK","I","I",10
"2",1990,"Aldabrachelys gigantea","live",NA,"SC","T","BLANK","I",6
"3",1990,"Aldabrachelys gigantea","live",NA,"SC","Z","C","I",2
"4",1990,"Apodora papuana","live",NA,"ID","BLANK","BLANK","E",69
"5",1990,"Apodora papuana","live",NA,"ID","BLANK","BLANK","I",4
"6",1990,"Apodora papuana","live",NA,"ID","T","BLANK","I",4
"7",1990,"Apodora papuana","live",NA,"ID","T","U","I",18
"8",1990,"Apodora papuana","live",NA,"ID","T","W","I",10
"9",1990,"Boa constrictor","live",NA,"BR","S","BLANK","E",4
"10",1990,"Boa constrictor","live",NA,"BZ","BLANK","W","E",4
"11",1990,"Boa constrictor","live",NA,"BZ","BLANK","W","I",7
"12",1990,"Boa constrictor","live",NA,"CA","N","BLANK","I",2
"13",1990,"Boa constrictor","live",NA,"CH","BLANK","C","E",89
"14",1990,"Boa constrictor","live",NA,"CH","T","C","I",25
"15",1990,"Boa constrictor","live",NA,"CO","T","BLANK","E",6839
"16",1990,"Boa constrictor","live",NA,"CO","T","C","E",1150
"17",1990,"Boa constrictor","live",NA,"CO","T","C","I",300
"18",1990,"Boa constrictor","live",NA,"CO","T","U","I",10368
"19",1990,"Boa constrictor","live",NA,"DD","P","C","I",7
"20",1990,"Boa constrictor","live",NA,"DD","Q","C","I",6
"21",1990,"Boa constrictor","live",NA,"DD","T","C","I",166
"22",1990,"Boa constrictor","live",NA,"DE","P","C","E",1
"23",1990,"Boa constrictor","live",NA,"DE","T","C","E",136
"24",1990,"Boa constrictor","live",NA,"DE","T","C","I",195
"25",1990,"Boa constrictor","live",NA,"DM","S","U","I",10
"26",1990,"Boa constrictor","live",NA,"GY","BLANK","W","E",58
"27",1990,"Boa constrictor","live",NA,"GY","T","BLANK","I",684
"28",1990,"Boa constrictor","live",NA,"GY","T","U","I",246
"29",1990,"Boa constrictor","live",NA,"GY","T","W","I",35
"30",1990,"Boa constrictor","live",NA,"HN","BLANK","U","I",1
"31",1990,"Boa constrictor","live",NA,"HN","T","BLANK","I",25
"32",1990,"Boa constrictor","live",NA,"HN","T","U","I",232
"33",1990,"Boa constrictor","live",NA,"HN","T","W","I",20
"34",1990,"Boa constrictor","live",NA,"LC","BLANK","W","I",1
"35",1990,"Boa constrictor","live",NA,"NL","BLANK","C","E",2
"36",1990,"Boa constrictor","live",NA,"PA","T","U","I",1
"37",1990,"Boa constrictor","live",NA,"PE","BLANK","I","I",67
"38",1990,"Boa constrictor","live",NA,"PE","T","BLANK","I",21
"39",1990,"Boa constrictor","live",NA,"PE","T","U","I",156
"40",1990,"Boa constrictor","live",NA,"PL","Q","BLANK","E",7
"41",1990,"Boa constrictor","live",NA,"PL","T","BLANK","E",19
"42",1990,"Boa constrictor","live",NA,"SR","BLANK","BLANK","I",45
"43",1990,"Boa constrictor","live",NA,"SR","T","BLANK","E",446
"44",1990,"Boa constrictor","live",NA,"SR","T","BLANK","I",53
"45",1990,"Boa constrictor","live",NA,"SR","T","U","I",309
"46",1990,"Boa constrictor","live",NA,"SR","T","W","I",45
"47",1990,"Boa constrictor","live",NA,"US","BLANK","C","E",2
"48",1990,"Boa constrictor","live",NA,"US","P","C","I",1
"49",1990,"Boa constrictor","live",NA,"US","T","C","I",10
"50",1990,"Boa constrictor","live",NA,"XX","Q","BLANK","I",2
"51",1990,"Boa constrictor","live",NA,"ZC","T","C","I",123
"52",1990,"Caiman crocodilus crocodilus","live",NA,"CH","T","BLANK","I",9
"53",1990,"Caiman crocodilus crocodilus","live",NA,"SR","BLANK","BLANK","I",14
"54",1990,"Caiman crocodilus crocodilus","live",NA,"SR","T","BLANK","E",317
"55",1990,"Caiman crocodilus crocodilus","live",NA,"SR","T","BLANK","I",172
"56",1990,"Caiman crocodilus crocodilus","live",NA,"SR","T","U","I",56
"57",1990,"Caiman crocodilus crocodilus","live",NA,"US","Z","BLANK","I",16
"58",1990,"Calabaria reinhardtii","live",NA,"GH","P","BLANK","E",2
"59",1990,"Calabaria reinhardtii","live",NA,"GH","T","BLANK","E",118
"60",1990,"Calabaria reinhardtii","live",NA,"GH","T","BLANK","I",25
"61",1990,"Calabaria reinhardtii","live",NA,"GH","T","U","I",41
"62",1990,"Calabaria reinhardtii","live",NA,"TG","BLANK","BLANK","I",4
"63",1990,"Calabaria reinhardtii","live",NA,"TG","T","BLANK","E",527
"64",1990,"Calabaria reinhardtii","live",NA,"TG","T","BLANK","I",33
"65",1990,"Calabaria reinhardtii","live",NA,"TG","T","U","I",248
"66",1990,"Calabaria reinhardtii","live",NA,"TG","T","W","I",41
"67",1990,"Calumma boettgeri","live",NA,"MG","P","BLANK","E",4
"68",1990,"Calumma brevicorne","live",NA,"MG","BLANK","BLANK","I",300
"69",1990,"Calumma brevicorne","live",NA,"MG","BLANK","I","I",25
"70",1990,"Calumma brevicorne","live",NA,"MG","P","BLANK","E",7
"71",1990,"Calumma brevicorne","live",NA,"MG","P","BLANK","I",2
"72",1990,"Calumma brevicorne","live",NA,"MG","T","BLANK","E",1630
"73",1990,"Calumma brevicorne","live",NA,"MG","T","BLANK","I",80
"74",1990,"Calumma gastrotaenia","live",NA,"MG","BLANK","BLANK","I",20
"75",1990,"Calumma gastrotaenia","live",NA,"MG","T","BLANK","E",22
"76",1990,"Calumma gastrotaenia","live",NA,"MG","T","BLANK","I",2
"77",1990,"Calumma malthe","live",NA,"MG","S","BLANK","E",4
"78",1990,"Calumma nasutum","live",NA,"MG","BLANK","BLANK","I",50
"79",1990,"Calumma nasutum","live",NA,"MG","P","BLANK","E",3
"80",1990,"Calumma nasutum","live",NA,"MG","S","BLANK","E",4
"81",1990,"Calumma nasutum","live",NA,"MG","T","BLANK","E",124
"82",1990,"Calumma nasutum","live",NA,"MG","T","BLANK","I",8
"83",1990,"Calumma oshaughnessyi","live",NA,"MG","S","BLANK","E",4
"84",1990,"Calumma oshaughnessyi","live",NA,"MG","T","BLANK","E",50
"85",1990,"Calumma parsonii","live",NA,"MG","BLANK","BLANK","I",220
"86",1990,"Calumma parsonii","live",NA,"MG","P","BLANK","E",5
"87",1990,"Calumma parsonii","live",NA,"MG","P","BLANK","I",3
"88",1990,"Calumma parsonii","live",NA,"MG","T","BLANK","E",1554
"89",1990,"Calumma parsonii","live",NA,"MG","T","BLANK","I",89
"90",1990,"Calumma parsonii","live",NA,"MG","T","W","I",25
"91",1990,"Calumma parsonii","live",NA,"NL","T","W","I",10
"92",1990,"Candoia aspera","live",NA,"ID","BLANK","BLANK","E",264
"93",1990,"Candoia aspera","live",NA,"ID","BLANK","BLANK","I",10
"94",1990,"Candoia aspera","live",NA,"ID","T","BLANK","I",47
"95",1990,"Candoia aspera","live",NA,"ID","T","U","I",58
"96",1990,"Candoia aspera","live",NA,"ID","T","W","I",25
"97",1990,"Candoia aspera","live",NA,"PG","S","BLANK","I",5
"98",1990,"Candoia carinata","live",NA,"AU","Z","C","E",6
"99",1990,"Candoia carinata","live",NA,"CA","B","C","E",1
"100",1990,"Candoia carinata","live",NA,"ID","BLANK","BLANK","E",176
"101",1990,"Candoia carinata","live",NA,"ID","BLANK","BLANK","I",4
"102",1990,"Candoia carinata","live",NA,"ID","T","BLANK","I",48
"103",1990,"Candoia carinata","live",NA,"ID","T","U","I",6
"104",1990,"Candoia carinata","live",NA,"ID","T","W","I",8
"105",1990,"Candoia carinata","live",NA,"SB","S","BLANK","I",5
"106",1990,"Candoia carinata","live",NA,"SB","T","BLANK","I",263
"107",1990,"Candoia carinata","live",NA,"SB","T","U","I",497
"108",1990,"Candoia carinata","live",NA,"SB","T","W","E",45
